2022-01-17 14:07:29.055 DEBUG 4475 --- [http-nio-8080-exec-4] o.s.web.servlet.DispatcherServlet        : GET "/js/plugins.js", parameters={}
2022-01-17 14:07:29.056 DEBUG 4475 --- [http-nio-8080-exec-4] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.057 DEBUG 4475 --- [http-nio-8080-exec-10] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.058 DEBUG 4475 --- [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet        : GET "/js/main.js", parameters={}
2022-01-17 14:07:29.059 DEBUG 4475 --- [http-nio-8080-exec-2] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.062 DEBUG 4475 --- [http-nio-8080-exec-7] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.064 DEBUG 4475 --- [http-nio-8080-exec-4] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.065 DEBUG 4475 --- [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.065 DEBUG 4475 --- [http-nio-8080-exec-4] o.s.web.servlet.DispatcherServlet        : GET "/img/savecar-logo.png", parameters={}
2022-01-17 14:07:29.066 DEBUG 4475 --- [http-nio-8080-exec-4] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.069 DEBUG 4475 --- [http-nio-8080-exec-5] o.s.web.servlet.DispatcherServlet        : GET "/img/popupimg1.png", parameters={}
2022-01-17 14:07:29.070 DEBUG 4475 --- [http-nio-8080-exec-5] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.072 DEBUG 4475 --- [http-nio-8080-exec-3] o.s.web.servlet.DispatcherServlet        : GET "/img/popupimg2.png", parameters={}
2022-01-17 14:07:29.073 DEBUG 4475 --- [http-nio-8080-exec-3] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.075 DEBUG 4475 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : GET "/img/main-card-yearly.png", parameters={}
2022-01-17 14:07:29.076 DEBUG 4475 --- [http-nio-8080-exec-1] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.076 DEBUG 4475 --- [http-nio-8080-exec-4] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.077 DEBUG 4475 --- [http-nio-8080-exec-6] o.s.web.servlet.DispatcherServlet        : GET "/img/main-card-monthly.png", parameters={}
2022-01-17 14:07:29.077 DEBUG 4475 --- [http-nio-8080-exec-9] o.s.web.servlet.DispatcherServlet        : GET "/img/arrow1.png", parameters={}
2022-01-17 14:07:29.078 DEBUG 4475 --- [http-nio-8080-exec-6] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.078 DEBUG 4475 --- [http-nio-8080-exec-9] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.079 DEBUG 4475 --- [http-nio-8080-exec-5] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.082 DEBUG 4475 --- [http-nio-8080-exec-3] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.082 DEBUG 4475 --- [http-nio-8080-exec-9] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.094 DEBUG 4475 --- [http-nio-8080-exec-10] o.s.web.servlet.DispatcherServlet        : GET "/img/main-card-camp.png", parameters={}
